Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
1,"MJV3-15-BIO-VT-3,2-5A",1,43,35.235914,-115.801881,3/16/15,,Espericueta/Reyes,,"MJV3-15-BIO-VT-3,2-5A",Sand,,Forget me not,Boraginaceae,Cryptantha angustifolia,1,3,3,,5
2,"MJV3-15-BIO-VT-3,2-5A",1,43,35.235914,-115.801881,3/16/15,,Espericueta/Reyes,,"3,4",Sand,,Bladderpod,Cleomaceae,Peritoma arborea,1,3,3,,5
3,"MJV3-15-BIO-VT-3,2-5A",1,43,35.235914,-115.801881,3/16/15,,Espericueta/Reyes,,"3,4",Sand,,grass,Poaceae,grass,1,3,3,,5
4,"MJV3-15-BIO-VT-3,2-5B",1,44,35.235962,-115.801853,3/16/15,,Espericueta/Reyes,,"5,6",Plant,,Bladderpod,Cleomaceae,Peritoma arborea,1,4,4,,5
5,"MJV3-15-BIO-VT-3,2-5B",1,44,35.235962,-115.801853,3/16/15,,Espericueta/Reyes,,"5,6",Plant,,"Palmate stem, axial palmate, long serrated leaves",,Unknown 20B,1,4,4,,5
6,"MJV3-15-BIO-VT-3,2-5B",1,44,35.235962,-115.801853,3/16/15,,Espericueta/Reyes,,"5,6",Plant,,Anderson thornbush,Solanaceae,Lycium andersonii,1,4,4,,5
7,"MJV3-15-BIO-VT-3,2-5B",1,44,35.235962,-115.801853,3/16/15,,Espericueta/Reyes,,"5,6",Plant,,Grass,Poaceae,grasses,1,4,4,,5
8,"MJV3-15-BIO-VT-3,2-5C",1,45,35.236036,-115.801880,3/16/15,,Espericueta/Reyes,,"7,8",Plant,,Creosote,Zygophyllaceae,Larrea tridentata,1,35,4,,5
9,"MJV3-15-BIO-VT-3,2-5C",1,45,35.236036,-115.801880,3/16/15,,Espericueta/Reyes,,"7,8",Plant,,Desert Teddy Bear Cholla,Cactaceae,Optunia bigelovii,5,35,4,,5
10,"MJV3-15-BIO-VT-3,2-5C",1,45,35.236036,-115.801880,3/16/15,,Espericueta/Reyes,,"7,8",Plant,,Grass,Poaceae,grass,20,35,4,,5
11,"MJV3-15-BIO-VT-3,2-5C",1,45,35.236036,-115.801880,3/16/15,,Espericueta/Reyes,,"7,8",Plant,,Unknown 7B,,Unknown 7B,8,35,4,,5
12,"MJV3-15-BIO-VT-3,2-5D",1,46,35.236108,-115.801878,3/16/15,,Espericueta/Reyes,,"9,10",Gravel,,Unknown 7B,,Unknown 7B,1,3,2,,5
13,"MJV3-15-BIO-VT-3,2-5D",1,46,35.236108,-115.801878,3/16/15,,Espericueta/Reyes,,"9,10",Gravel,,Bladderpod,Cleomaceae,Peritoma arborea,2,3,2,,5
14,"MJV3-15-BIO-VT-3,2-5E",1,47,35.236167,-115.801883,3/16/15,,Espericueta/Reyes,,"11,12",Rock,,,,Unknown 7B,1,18,4,,5
15,"MJV3-15-BIO-VT-3,2-5E",1,47,35.236167,-115.801883,3/16/15,,Espericueta/Reyes,,"11,12",Rock,,Bladderpod,Cleomaceae,Peritoma arborea,1,18,4,,5
16,"MJV3-15-BIO-VT-3,2-5E",1,47,35.236167,-115.801883,3/16/15,,Espericueta/Reyes,,"11,12",Rock,,Desert Teddy Bear Cholla,Cactaceae,Optunia bigelovii,1,18,4,,5
17,"MJV3-15-BIO-VT-3,2-5E",1,47,35.236167,-115.801883,3/16/15,,Espericueta/Reyes,,"11,12",Rock,,Grass,Poaceae,grass,15,18,4,,5
18,"MJV3-15-BIO-VT-3,2-5F",1,48,35.235828,-115.801877,3/16/15,,Espericueta/Reyes,,"13,14",Gravel,,Asteraceae family,,Unknown 6B,6,13,3,,5
19,"MJV3-15-BIO-VT-3,2-5F",1,48,35.235828,-115.801877,3/16/15,,Espericueta/Reyes,,"13,14",Gravel,,"Red stemmed, filagree, Cranesbill?",,Unknown 13B,6,13,3,,5
20,"MJV3-15-BIO-VT-3,2-5F",1,48,35.235828,-115.801877,3/16/15,,Espericueta/Reyes,,"13,14",Gravel,,Grass,Poaceae,Grass,1,13,3,,5
21,"MJV3-15-BIO-VT-3,2-6A",1,49,35.235847,-115.801764,3/16/15,,Espericueta/Reyes,,"15,16",Gravel,,"Red stemmed, filagree, Cranesbill?",,Unknown 13B,2,15,3,,5
22,"MJV3-15-BIO-VT-3,2-6A",1,49,35.235847,-115.801764,3/16/15,,Espericueta/Reyes,,"15,16",Gravel,,,,Unknown 6B,3,15,3,,5
23,"MJV3-15-BIO-VT-3,2-6A",1,49,35.235847,-115.801764,3/16/15,,Espericueta/Reyes,,"15,16",Gravel,,Forget me not,Boraginaceae,Cryptantha angustifolia,10,15,3,,5
24,"MJV3-15-BIO-VT-3,2-6B",1,50,35.235801,-115.801756,3/16/15,,Espericueta/Reyes,,17-19,Rock,,,,Unknown 13B,4,12,4,,5
25,"MJV3-15-BIO-VT-3,2-6B",1,50,35.235801,-115.801756,3/16/15,,Espericueta/Reyes,,17-19,Rock,,"Senna? Alternating leaves, yellow flower w/pod. 1 stalk, 1 tap root",,Unknown 20B,6,12,4,,5
26,"MJV3-15-BIO-VT-3,2-6B",1,50,35.235801,-115.801756,3/16/15,,Espericueta/Reyes,,17-19,Rock,,Teddy Bear Cholla,Cactaceae,Optunia bigelovii,1,12,4,,5
27,"MJV3-15-BIO-VT-3,2-6B",1,50,35.235801,-115.801756,3/16/15,,Espericueta/Reyes,,17-19,Rock,,,,Grass,1,12,4,,5
