Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID
1,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,California buckwheat,Polygonaceae,Eriogonum fasciculatum,2,37,5,,4
2,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,Anderson thornbush,Solanaceae,Lycium andersonii,2,37,5,,4
3,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,Lichen,,Lichen,3,37,5,"Sea foam green, facing west and north, orange and yellowish green",4
4,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,Unk.,,Unknown 2A,1,37,5,"Pic #466, clover line green plant, long stems, clover leaves, hint of red",4
5,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,Unk.,,Unknown 3A,1,37,5,"Pic #469, small puffy white balls, almost line cotton ",4
6,"MJV4-15-BIO-VT-2,2-2A",1,481,35.235801,-115.803414,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,467-469,Live Plant,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,30,37,5,,4
7,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Desert Star,Asteraceae,Monoptilon bellioides,2,29,6,,4
8,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Red brome,Poaceae,Bromus madritensis ssp. Rubens,20,29,6,,4
9,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Unk.,,Unknown 5A,1,29,6,"Pic #472, stem is red with green leaves, almost grassy like, baby",4
10,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Moss,,Unknown Moss,1,29,6,"Pic #473, olive green color, litter (old Red brome)",4
11,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Lichen,,Lichen Lime,4,29,6,"Pic #474, sea foam green and black, facing north",4
12,"MJV4-15-BIO-VT-2,2-2B",1,482,35.235826,-115.803406,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,471,Rock/gravel,,Unk.,,Unknown 6A,1,29,6,"Pic #475, small long skinny leaves, green and purple, similar to carrot family, tiny",4
13,"MJV4-15-BIO-VT-2,2-2C",1,484,35.235823,-115.803374,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,476,Gravel,,Desert trumpet,Polygonaceae,Eriogonum inflatum,3,55,5,,4
14,"MJV4-15-BIO-VT-2,2-2C",1,484,35.235823,-115.803374,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,476,Gravel,,Lichen,,Lichen,6,55,5,"black, brown, grey, seafoam green, lime, orange",4
15,"MJV4-15-BIO-VT-2,2-2C",1,484,35.235823,-115.803374,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,476,Gravel,,Heron's bill,Geraniaceae,Erodium cicutarium,1,55,5,"Pic #477, Unk 7 green leaves, very small teeth on the leaves, no flowers, leaves go lateral, green ball in center",4
16,"MJV4-15-BIO-VT-2,2-2C",1,484,35.235823,-115.803374,4/1/15,B. Rodriquez,Rodriquez/Baughman,J. Baughman,476,Gravel,,Moss,,Various Mosses,5,55,5,"1 grimmia, 1 syntrichya, 1 ruralis, 1 bryum, 1 didymodon",4
